                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.8031,                0.83791,                  1.127,                0.73565,                 0.7705,                0.80877,                0.47781,                 1.4082,                 1.0405,                 1.0157,               0.066795,             3.3238e-05,             3.3238e-05
                      1,                 0.7172,                0.59605,                 1.0605,                0.70158,                0.71962,                0.74124,                0.51948,                 1.1869,                0.85171,                0.90978,               0.033495,             6.5912e-05,             6.5912e-05
                      2,                0.67806,                0.52455,                 1.0342,                0.82072,                0.82949,                0.85865,                0.55778,                 1.2394,                0.75174,                0.93392,             0.00019344,             9.7926e-05,             9.7926e-05
                      3,                0.67183,                0.51566,                 1.0237,                0.88288,                0.85943,                0.89482,                0.59938,                 1.1368,                0.64104,                 0.8714,              9.703e-05,              9.703e-05,              9.703e-05
                      4,                0.66105,                0.48408,                 1.0175,                0.86343,                0.85657,                0.88507,                0.60606,                 1.1075,                0.66137,                0.85324,              9.703e-05,              9.703e-05,              9.703e-05
                      5,                0.64734,                0.46695,                 1.0126,                0.87394,                0.84037,                0.88644,                0.58487,                 1.1776,                0.70977,                0.87596,              9.604e-05,              9.604e-05,              9.604e-05
                      6,                0.62865,                0.45167,                 1.0036,                 0.9101,                0.86256,                 0.9092,                0.61696,                 1.1218,                0.64025,                0.85661,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 0.6291,                0.44967,                 1.0016,                 0.9065,                0.85972,                 0.9049,                0.61684,                  1.121,                0.64769,                 0.8744,              9.406e-05,              9.406e-05,              9.406e-05
                      8,                 0.6211,                0.42995,                0.99731,                0.83649,                0.82542,                 0.8544,                0.59774,                 1.1266,                0.64784,                0.85392,              9.307e-05,              9.307e-05,              9.307e-05
                      9,                0.61754,                0.43457,                0.99674,                0.84507,                0.84177,                0.89334,                0.61779,                 1.1099,                0.70537,                0.86172,              9.208e-05,              9.208e-05,              9.208e-05
                     10,                0.61118,                0.42593,                0.99261,                0.88985,                0.86159,                0.88902,                0.62339,                 1.0549,                0.59843,                0.82917,              9.109e-05,              9.109e-05,              9.109e-05
                     11,                0.60882,                0.41481,                0.99167,                0.89171,                0.84912,                0.90045,                0.62733,                 1.1203,                0.64869,                0.85157,               9.01e-05,               9.01e-05,               9.01e-05
                     12,                0.59877,                0.40979,                0.98892,                0.91708,                0.87331,                0.91592,                0.63099,                 1.0859,                0.59517,                0.83991,              8.911e-05,              8.911e-05,              8.911e-05
                     13,                0.59728,                0.40494,                0.98428,                0.89216,                0.86781,                 0.9112,                0.64337,                 1.0433,                0.60217,                0.83713,              8.812e-05,              8.812e-05,              8.812e-05
                     14,                0.59929,                0.39986,                0.98175,                0.90845,                0.85153,                0.90006,                0.60513,                 1.1383,                0.62312,                0.86799,              8.713e-05,              8.713e-05,              8.713e-05
